Token0 ID,Token0 Name,Token0 Symbol,Token0 Decimals,Token1 ID,Token1 Name,Token1 Symbol,Token1 Decimals,Uniswap Pool ID,Camelot Pool ID,Uniswap TVL (USD),Camelot TVL (USD),Uniswap Fee,Camelot Fee,Token0 to USDT Price,Token1 to USDT Price,ETH_USDT
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,ChainLink Token,LINK,18,0x468b88941e7cc0b88c1869d68ab6b570bcef62ff,0xe8795cf9c2309ecfe05df028eb0f21d5d6e3a951,2929379.4712816225,587759.857550669,3000,4848,1559.4048992778946,12.4569005042691,
0x4186bfc76e2e237523cbc30fd220fe055156b41f,KelpDao Restaked ETH,rsETH,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x48b0ab72c2591849e678e7d6f272b75ef9b863f7,0xb355cce5cbaf411bd56e3b092f5aa10a894083ae,110.19361247372258,209530.93987075367,100,100,1620.454783470579,1559.4048992778946,
0x6985884c4392d348587b19cb9eaaf157f13271cd,LayerZero,ZRO,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x4cef551255ec96d89fec975446301b5c4e164c59,0x105ba85d9047daf3f9fe941d8188d4b9a6900388,1168494.1824513597,214204.673517074,3000,4412,2.5302551179575064,1559.4048992778946,
0x18c11fd286c5ec11c3b683caa813b77f5163a122,Gains Network,GNS,18,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,Dai Stablecoin,DAI,18,0x4d2fe06fd1c4368042b926d082484d2e3cc8f3f5,0x8cf6b12f6b826e3d2b22958516983393fdd4b24d,802.7411492957385,13634.10211956678,10000,5120,1.273179177153251,0.9992641251465499,
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,USDT,6,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,USDC,6,0x4d7ce479ce0993e1ab98c15cee6d8f33926871da,0x3ab5dd69950a948c55d1fbfb7500bf92b4bd4c48,1008.414898,10483.598797019533,3000,50,0.9999601238526605,1.000325374718902,
0x5575552988a3a80504bbaeb1311674fcfd40ad4b,Sperax,SPA,18,0xd74f5255d557944cf7dd0e45ff521520002d5748,Sperax USD,USDs,18,0x4d99c67eaeee591ff9e2c8277cc46fd1266755c9,0x3a31e1704738b6fc5af095f507ba61c1f6f129ee,216.16875361449488,125443.98901476926,500,11485,0.01541008006535569,1.000069470424744,
0xd74f5255d557944cf7dd0e45ff521520002d5748,Sperax USD,USDs,18,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,USDC,6,0x50450351517117cb58189edba6bbad6284d45902,0xa3f8fccf7f64c7255a5b03e6050d56b849a58bf0,108835.81359611348,1204.7139693275487,500,3000,1.000069470424744,1.000325374718902,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xd74f5255d557944cf7dd0e45ff521520002d5748,Sperax USD,USDs,18,0x5766da927bcb6f60cefdc559ea30ddd3a4c5db0f,0x9b5d736e9a9229b501c0ec56389c8be137f98aa1,309.4630950694656,73.72066394556103,3000,4463,1559.4048992778946,1.000069470424744,
0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,Wrapped BTC,WBTC,8,0x6b2a01a5f79deb4c2f3c0eda7b01df456fbd726a,uniBTC,uniBTC,8,0x57c469ff35bf2aa4e1e96d3c765aac8b8b66cb38,0xd9db577477801768543ed2a6851e5ef7c4687a8d,260.64085481029105,1708.4743341568592,10000,128,81935.79977561266,80751.78510387291,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,USDT,6,0x58039203442c9f2a45d5536bd021a383c7f3035c,0x7cccba38e2d959fe135e79aebb57ccb27b128358,29589.308214218225,150003.36740131915,10000,100,1559.4048992778946,0.9999601238526605,
